CONSTITUENT_ID	AGE	GENDER	MARRIED	STATE	COUNT(F.FAMILY_ID)	COUNT(E.EVENT_ATTENDEE_ID)	COUNT(V.VOLUNTEER_ID)	sum(T.AMOUNT)
1119700	53	Female	1	California	0	0	0	NULL
1119756	58	Male	0	Illinois	0	0	0	NULL
1120789	0	Male	0	Illinois	0	0	0	50
1121078	65	Female	0	Texas	0	0	0	NULL
1122735	97	Female	0	Illinois	1	0	0	10
1123293	60	Female	0	Wisconsin	0	0	0	NULL
1123297	60	Female	0	California	0	0	0	NULL
1123468	52	Female	1	Illinois	1	0	0	NULL
1123563	51	Female	1	Illinois	0	0	0	NULL
1123579	74	Male	0	Illinois	0	0	0	NULL
1123590	54	Male	0	Massachusetts	0	0	0	NULL
1123610	51	Female	0	Illinois	0	0	0	NULL
1123752	55	Male	1	Illinois	0	0	0	NULL
1123761	60	Female	1	Indiana	0	0	0	NULL
1125067	79	Female	1	California	0	0	0	2150
1127071	81	Male	0	Indiana	0	0	0	NULL
1132183	57	Female	0	Illinois	0	1	0	NULL
1132188	58	Female	0	Montana	0	0	0	NULL
1132373	52	Female	0	Ohio	0	0	0	NULL
1132389	65	Female	0	Maryland	0	0	0	NULL
1132609	59	Female	1	Colorado	0	0	0	NULL
1132676	57	Female	1	Georgia	0	0	0	NULL
1132696	57	Female	0	Washington	0	0	0	NULL
1132878	67	Female	0	Illinois	0	0	1	10
1134121	54	Female	0	Illinois	0	0	0	NULL
